61,51,46,60,79,55,45,48,49,53,5,5,8,8,9,0
72,67,65,74,72,83,46,50,42,32,9,16,18,10,13,2
57,54,60,70,74,66,66,66,66,67,13,9,14,9,9,1
21,19,19,27,60,24,32,18,19,16,73,70,67,69,77,2
61,62,63,63,65,59,33,39,41,40,10,10,24,14,9,0
52,64,55,51,77,65,34,23,24,27,5,13,19,15,10,0
51,36,59,68,76,58,78,68,80,74,8,10,20,8,14,2
57,36,63,59,56,54,59,61,64,61,13,13,22,18,17,0
58,58,55,59,65,54,52,35,33,34,11,9,8,7,12,0
47,72,66,65,85,69,27,21,28,21,11,8,11,8,10,2
61,66,57,70,66,76,45,20,27,23,10,11,14,9,10,1
58,65,48,71,74,70,36,22,46,45,10,15,21,15,13,0
64,26,57,60,68,47,62,65,64,67,9,12,15,8,9,0
55,22,49,50,80,40,57,58,58,56,8,13,13,13,13,0
67,60,34,78,71,76,48,41,49,46,9,13,21,9,12,1
17,16,15,24,45,37,17,19,21,19,73,68,61,72,75,1
59,69,50,69,68,71,38,22,21,20,13,14,23,11,10,1
51,48,62,72,58,66,64,58,62,48,10,9,19,16,16,1
49,45,66,69,70,68,66,67,72,70,9,15,15,11,12,1
55,46,73,60,56,73,65,71,71,67,7,11,28,13,16,1
69,68,62,62,83,71,46,33,28,32,7,9,13,16,16,2
49,78,76,64,65,74,47,21,37,26,6,10,12,15,10,2
16,16,12,29,53,49,28,11,17,15,72,72,60,70,75,1
51,42,74,68,69,64,66,71,75,72,11,13,21,13,14,2
62,61,50,60,86,65,35,28,31,28,8,8,15,8,15,0
19,19,18,21,36,25,26,20,19,17,71,72,65,63,72,1
58,32,57,64,67,54,61,65,68,71,10,15,15,15,10,0
53,68,58,58,68,73,39,27,29,25,10,16,18,9,16,1
63,60,60,59,82,65,53,36,38,29,8,14,24,14,13,0
41,70,64,52,56,85,21,22,18,19,14,11,15,7,15,1
70,71,64,61,83,73,42,32,39,31,6,6,10,13,11,1
65,44,45,69,69,50,53,53,62,55,10,12,9,6,7,0
56,44,65,60,66,56,61,70,68,68,12,12,12,10,11,1
25,25,25,31,38,26,25,25,25,25,63,60,56,59,66,0
65,47,56,59,64,59,68,66,69,70,12,12,23,13,11,1
63,50,65,74,75,70,65,64,66,61,9,7,10,13,5,1
45,66,62,55,76,67,44,41,48,44,6,17,32,16,14,0
54,70,65,56,68,67,32,30,43,38,5,10,13,10,10,1
64,67,53,69,77,69,34,23,28,30,5,8,19,16,9,1
54,24,52,52,71,44,53,60,60,59,12,12,17,12,11,0
30,65,73,46,70,63,26,19,22,20,5,12,13,7,6,0
75,76,58,81,88,73,42,28,29,23,9,13,14,10,10,3
64,48,55,73,69,70,64,57,64,61,11,15,11,15,10,1
73,45,62,71,77,53,67,67,71,72,6,7,18,7,14,2
36,74,74,68,69,72,54,28,32,34,10,15,8,13,6,2
64,31,42,59,58,42,55,42,59,58,14,10,14,15,7,0
22,23,25,26,45,22,27,22,21,20,67,61,63,64,69,0
65,37,55,63,65,64,71,48,53,51,8,11,10,11,7,0
54,74,75,59,66,75,33,28,28,22,9,8,18,13,8,2
52,50,75,67,57,66,72,73,72,78,9,13,22,9,9,2
66,51,50,78,66,66,65,58,69,63,5,8,17,14,11,2
52,66,47,46,80,60,35,21,26,25,4,12,16,12,16,0
70,66,41,75,75,68,36,27,27,24,10,15,13,7,14,2
42,43,48,46,66,48,48,58,70,68,8,20,43,18,18,0
60,70,57,71,82,70,53,40,41,37,13,9,25,13,9,2
62,39,66,58,72,57,65,65,67,68,12,16,17,15,14,1
50,37,44,64,59,54,24,34,39,33,13,15,8,8,5,0
54,63,68,60,58,69,31,25,26,21,6,6,15,10,8,0
62,55,63,73,60,71,68,54,59,54,8,13,11,7,12,1
47,37,72,58,55,65,57,66,66,63,12,11,11,13,13,0
64,52,54,66,74,62,28,24,24,26,13,7,12,12,8,1
53,30,60,66,55,57,62,71,68,64,13,7,25,11,5,1
55,21,65,53,63,58,63,68,69,69,14,9,15,13,12,1
52,67,59,64,76,68,36,19,27,31,14,5,13,5,5,1
59,53,65,69,64,69,50,64,68,72,8,15,27,10,13,1
76,63,47,87,68,70,70,60,74,63,11,10,19,9,11,2
42,47,66,63,54,73,70,65,72,62,5,14,21,16,15,1
59,37,53,56,66,36,37,20,48,30,9,7,10,9,7,0
59,67,59,68,60,57,61,57,60,57,12,11,13,12,8,0
61,67,70,61,71,70,51,33,43,28,5,18,44,17,17,1
67,81,72,73,81,85,37,22,25,21,8,5,11,6,6,3
62,72,72,69,68,75,46,36,40,36,5,11,20,7,6,1
56,18,58,58,62,30,50,59,61,53,7,16,34,17,17,0
61,35,53,59,63,69,61,62,65,64,10,14,32,14,14,0
72,46,57,70,77,76,64,64,65,65,9,16,14,8,8,1
35,36,65,53,55,65,70,70,71,70,9,6,9,10,13,1
62,65,77,78,69,78,77,73,73,71,6,11,26,12,13,2
18,19,20,36,47,19,32,19,18,25,76,68,78,70,79,2
68,58,62,73,65,68,69,63,68,69,9,16,18,9,8,1
64,39,51,61,76,46,56,55,60,60,4,12,21,15,9,0
57,58,47,66,67,70,59,61,64,59,9,11,7,15,8,0
42,30,49,55,63,32,55,63,60,58,8,11,12,14,15,0
49,81,75,64,79,72,27,21,22,23,13,15,12,13,6,2
60,23,62,63,70,38,62,62,63,61,9,6,7,12,15,0
